fact
fish(1,1,1).
fish(3,1,3).
fish(2,1,2).
fish(5,1,5).
fish(15,5,3).
fish(6,2,3).
fish(9,3,3).
fish(10,5,2).
fish(4,2,2).
fish(6,3,2).
fish(25,5,5).
fish(10,2,5).
fish(15,3,5).
fish(45,15,3).
fish(30,10,3).
fish(75,25,3).
fish(18,6,3).
fish(12,4,3).
fish(27,9,3).
fish(30,15,2).
fish(20,10,2).
fish(50,25,2).
fish(12,6,2).
fish(8,4,2).
fish(18,9,2).
fish(75,15,5).
fish(50,10,5).
fish(125,25,5).
fish(30,6,5).
fish(20,4,5).
fish(45,9,5).
fish(135,45,3).
fish(60,20,3).
fish(90,30,3).
fish(375,125,3).
fish(150,50,3).
fish(225,75,3).
fish(54,18,3).
fish(24,8,3).
fish(36,12,3).
fish(81,27,3).
fish(90,45,2).
fish(40,20,2).
fish(60,30,2).
fish(250,125,2).
fish(100,50,2).
fish(150,75,2).
fish(36,18,2).
fish(16,8,2).
fish(24,12,2).
fish(54,27,2).
fish(225,45,5).
fish(100,20,5).
fish(150,30,5).
fish(625,125,5).
fish(250,50,5).
fish(375,75,5).
fish(90,18,5).
fish(40,8,5).
fish(60,12,5).
fish(135,27,5).
fish(405,135,3).
fish(180,60,3).
fish(120,40,3).
fish(270,90,3).
fish(1125,375,3).
fish(750,250,3).
fish(1875,625,3).
fish(450,150,3).
fish(300,100,3).
fish(675,225,3).
fish(162,54,3).
fish(72,24,3).
fish(48,16,3).
fish(108,36,3).
fish(243,81,3).
fish(270,135,2).
fish(120,60,2).
fish(80,40,2).
fish(180,90,2).
fish(750,375,2).
fish(500,250,2).
fish(1250,625,2).
fish(300,150,2).
fish(200,100,2).
fish(450,225,2).
fish(108,54,2).
fish(48,24,2).
fish(32,16,2).
fish(72,36,2).
fish(162,81,2).
fish(675,135,5).
fish(300,60,5).
fish(200,40,5).
fish(450,90,5).
fish(1875,375,5).
fish(1250,250,5).
fish(3125,625,5).
fish(750,150,5).
fish(500,100,5).
fish(1125,225,5).
fish(270,54,5).
fish(120,24,5).
fish(80,16,5).
fish(180,36,5).
fish(405,81,5).
fish(1215,405,3).
fish(540,180,3).
fish(240,80,3).
fish(360,120,3).
fish(810,270,3).
fish(3375,1125,3).
fish(1500,500,3).
fish(2250,750,3).
fish(9375,3125,3).
fish(3750,1250,3).
fish(5625,1875,3).
fish(1350,450,3).
fish(600,200,3).
fish(900,300,3).
fish(2025,675,3).
fish(486,162,3).
fish(216,72,3).
fish(96,32,3).
fish(144,48,3).
fish(324,108,3).
fish(729,243,3).
fish(810,405,2).
fish(360,180,2).
fish(160,80,2).
fish(240,120,2).
fish(540,270,2).
fish(2250,1125,2).
fish(1000,500,2).
fish(1500,750,2).
fish(6250,3125,2).
fish(2500,1250,2).
fish(3750,1875,2).
fish(900,450,2).
fish(400,200,2).
fish(600,300,2).
fish(1350,675,2).
fish(324,162,2).
fish(144,72,2).
fish(64,32,2).
fish(96,48,2).
fish(216,108,2).
fish(486,243,2).
fish(2025,405,5).
fish(900,180,5).
fish(400,80,5).
fish(600,120,5).
fish(1350,270,5).
fish(5625,1125,5).
fish(2500,500,5).
fish(3750,750,5).
fish(15625,3125,5).
fish(6250,1250,5).
fish(9375,1875,5).
fish(2250,450,5).
fish(1000,200,5).
fish(1500,300,5).
fish(3375,675,5).
fish(810,162,5).
fish(360,72,5).
fish(160,32,5).
fish(240,48,5).
fish(540,108,5).
fish(1215,243,5).
fish(3645,1215,3).
fish(1620,540,3).
fish(720,240,3).
fish(480,160,3).
fish(1080,360,3).
fish(2430,810,3).
fish(10125,3375,3).
fish(4500,1500,3).
fish(3000,1000,3).
fish(6750,2250,3).
fish(28125,9375,3).
fish(18750,6250,3).
fish(46875,15625,3).
fish(11250,3750,3).
fish(7500,2500,3).
fish(16875,5625,3).
fish(4050,1350,3).
fish(1800,600,3).
fish(1200,400,3).
fish(2700,900,3).
fish(6075,2025,3).
fish(1458,486,3).
fish(648,216,3).
fish(288,96,3).
fish(192,64,3).
fish(432,144,3).
fish(972,324,3).
fish(2187,729,3).
fish(2430,1215,2).
fish(1080,540,2).
fish(480,240,2).
fish(320,160,2).
fish(720,360,2).
fish(1620,810,2).
fish(6750,3375,2).
fish(3000,1500,2).
fish(2000,1000,2).
fish(4500,2250,2).
fish(18750,9375,2).
fish(12500,6250,2).
fish(31250,15625,2).
fish(7500,3750,2).
fish(5000,2500,2).
fish(11250,5625,2).
fish(2700,1350,2).
fish(1200,600,2).
fish(800,400,2).
fish(1800,900,2).
fish(4050,2025,2).
fish(972,486,2).
fish(432,216,2).
fish(192,96,2).
fish(128,64,2).
fish(288,144,2).
fish(648,324,2).
fish(1458,729,2).
fish(6075,1215,5).
fish(2700,540,5).
fish(1200,240,5).
fish(800,160,5).
fish(1800,360,5).
fish(4050,810,5).
fish(16875,3375,5).
fish(7500,1500,5).
fish(5000,1000,5).
fish(11250,2250,5).
fish(46875,9375,5).
fish(31250,6250,5).
fish(78125,15625,5).
fish(18750,3750,5).
fish(12500,2500,5).
fish(28125,5625,5).
fish(6750,1350,5).
